"","applicantAge","householdComposition","grossIncome","primaryResidence","homeOwnersInsurance","floodInsurance","ihpEligible","sbaApproved","registrationMethod","homeDamage","destroyed","residenceType"
"1","50-64","1","$15,000-$30,000","1","1","0","1","0","Internet","1","0","House/Duplex"
"2","65+","1","$15,000-$30,000","1","1","0","1","0","Call Center","1","0","House/Duplex"
"3","<19","4","$30,001-$60,000","1","1","0","1","0","Call Center","1","0","House/Duplex"
"4","19-34","3","$120,001-$175,000","1","1","1","1","0","Internet","1","0","House/Duplex"
"5","35-49","4","$120,001-$175,000","1","1","0","1","0","Mobile","1","0","House/Duplex"
"6","35-49","2","$30,001-$60,000","1","1","0","1","0","Call Center","1","0","House/Duplex"
"7","35-49",">5","$120,001-$175,000","1","1","0","1","0","Internet","1","0","House/Duplex"
"8","65+","2","$30,001-$60,000","1","1","0","1","0","Internet","1","0","House/Duplex"
"9","35-49","4",">$175,000","1","1","0","1","1","Mobile","1","0","House/Duplex"
"10","35-49","4",">$175,000","1","1","0","1","0","Mobile","1","0","House/Duplex"
"11","50-64","3",">$175,000","1","1","0","1","0","Internet","1","0","House/Duplex"
"12","35-49","4",">$175,000","1","1","0","1","1","Mobile","1","0","House/Duplex"
"13","35-49","4","<$15,000","1","0","0","1","0","Mobile","1","0","House/Duplex"
"14","19-34","3",">$175,000","1","1","0","1","1","Internet","1","0","House/Duplex"
"15","19-34","4","$120,001-$175,000","1","1","0","1","0","Internet","1","0","House/Duplex"
"16","65+","1","<$15,000","1","1","0","1","0","Call Center","1","0","House/Duplex"
"17","65+","3","<$15,000","1","0","0","1","0","Internet","1","0","House/Duplex"
"18","50-64",">5","$15,000-$30,000","1","1","0","1","0","Mobile","1","0","House/Duplex"
"19","50-64","4","$120,001-$175,000","1","1","0","1","0","Mobile","1","0","House/Duplex"
"20","50-64","2",">$175,000","1","1","0","1","0","Internet","1","0","House/Duplex"
"21","65+","1","<$15,000","1","1","0","1","0","Internet","1","0","House/Duplex"
"22","65+","2","<$15,000","1","1","0","1","0","Internet","1","0","House/Duplex"
"23","35-49","4",">$175,000","1","1","0","1","0","Internet","1","0","House/Duplex"
"24","35-49","1","<$15,000","1","1","0","1","0","Internet","1","0","House/Duplex"
"25","65+","3","$30,001-$60,000","1","1","1","1","0","Call Center","1","0","House/Duplex"
